# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
8bit fiesta steam/nw.exe	8Bit Fiesta
8bitarmies/clientg.exe	8-Bit Armies
8bitb/8bb.exe	8-Bit Bayonetta
8bithordes/clientg.exe	8-Bit Hordes
8bitinvaders/clientg.exe	8-Bit Invaders!
9 kings/9kings.exe	9 Kings
9 years of shadows/9 years of shadows.exe	9 Years of Shadows
911 first responders/em4.exe	911: First Responders
911 operator/911.exe	911 Operator
98xx/98xx.exe	98xx
9bitarmies/clientg64.exe	9-Bit Armies: A Bit Too Far
9dragons/rfstl.exe	9Dragons
9th dawn remake/9th dawn remake.exe	9th Dawn Remake
[ninja gaiden master collection] ninja gaiden 3 razor's edge/ninja gaiden 3 razor's edge.exe	Ninja Gaiden 3: Razor's Edge
_beta_/wow-64.exe	World of Warcraft
_beta_/wow.exe	World of Warcraft
_ptr_/wow-64.exe	World of Warcraft
_ptr_/wow.exe	World of Warcraft
_retail_/cod22/cod22-cod.exe	Call of Duty: Modern Warfare II
_retail_/sp22/sp22-cod.exe	Call of Duty: Modern Warfare II
_retail_/wow-64.exe	World of Warcraft
_retail_/wow.exe	World of Warcraft
_windows/darkest.exe	Darkest Dungeon
a bird story/a bird story.exe	A Bird Story
a building full of cats/building.exe	A Building Full of Cats
a castle full of cats/castle.exe	A Castle Full of Cats
a dance of fire and ice/a dance of fire and ice.exe	A Dance of Fire and Ice
a date with death/adatewithdeath.exe	A Date with Death
a difficult game about climbing/a difficult game about climbing.exe	A Difficult Game About Climbing
a few quick matches/a few quick matches.exe	A Few Quick Matches
a game about/agameabout.exe	A Game About
a game of thrones the board game/agameofthronestheboardgame.exe	A Game of Thrones: The Board Game - Digital Edition
a gentlemen's dispute/a gentlemen's dispute.exe	A Gentlemen's Dispute
a good snowman is hard to build/snowman.exe	A Good Snowman is Hard to Build
a legionary's life/legionary.exe	A Legionary's Life
a little to the left/a little to the left.exe	A Little to the Left
a monster's expedition/a monster's expedition.exe	A Monster's Expedition
a mortician's tale/morticianstale.exe	A Mortician's Tale
a new beginning/anb.exe	A New Beginning: Final Cut
a new life/a new life.exe	a new life.
a normal lost phone/anlp.exe	A Normal Lost Phone
a park full of cats/park.exe	A Park Full of Cats
a plague tale innocence/aplaguetaleinnocence_x64.exe	A Plague Tale: Innocence
a plague tale requiem/aplaguetalerequiem_x64.exe	A Plague Tale: Requiem
a raven monologue/a raven monologue.exe	A Raven Monologue
a shelter full of cats/shelter.exe	A Shelter Full of Cats
a short hike/ashorthike.exe	A Short Hike
a sky full of stars/advhd.exe	A Sky Full of Stars
a space for the unbound/a space for the unbound.exe	A Space for the Unbound
a story about farting/a story about farting.exe	A Story About Farting
a taste of the past/a taste of the past.exe	A Taste of the Past
a tower full of cats/tower.exe	A Tower Full of Cats
a webbing journey demo/a webbing journey.exe	A Webbing Journey Demo
a webbing journey/a webbing journey.exe	A Webbing Journey
a witchy life story/witchy life story.exe	Witchy Life Story
aaero/aaero.exe	Aaero
aagame.exe	America's Army: Proving Grounds
abalyte/abalyte.exe	Abalyte
abandon ship/abandonship.exe	Abandon Ship
abi-dos/abi-dos.exe	ABI-DOS
above snakes prologue/above snakes.exe	Above Snakes
above snakes/above snakes.exe	Above Snakes
absconding zatwor/absconding zatwor.exe	Absconding Zatwor
absolute drift/absolutedrift.exe	Absolute Drift
absolver-win64-shipping.exe	Absolver
abyss the forgotten past prologue/abyss the forgotten past.exe	Abyss the Forgotten Past
abyssonline/abyss.exe	Abyss
abzugame-win64-shipping.exe	Abzu
ac3lhd_32.exe	Assassin's Creed III: Liberation
ac3mp.exe	Assassin's Creed III
ac3sp.exe	Assassin's Creed III
ac4bfmp.exe	Assassin's Creed IV Black Flag
ac4bfsp.exe	Assassin's Creed IV Black Flag
academiaschoolsimulator/academia64.exe	Academia: School Simulator
academy love saga tennis angels ex/tennis angels ex.exe	Academy Love Saga: Tennis Angels EX
acbmp.exe	Assassin's Creed Brotherhood
acbsp.exe	Assassin's Creed Brotherhood
acc.exe	Assassin's Creed Rogue
acceleration of suguri 2/aos2.exe	Acceleration of SUGURI 2
accgame-win32-shipping.exe	Assassin's Creed Chronicles: China
accgame-win32-shipping.exe	Assassin's Creed Chronicles: India
accident the pilot/accident the pilot.exe	Accident: The Pilot
accident/accident.exe	Accident
acclient.exe	Asheron's Call
accounting/accounting.exe	Accounting
accountingplus/accountingplus.exe	Accounting+
ace attorney investigations collection/gk12.exe	Ace Attorney Investigations Collection
ace combat 7/ace7game.exe	Ace Combat 7: Skies Unknown
ace combat assault horizon/ace combat_ah.exe	Ace Combat: Assault Horizon - Enhanced Edition
aceofspades/aos.exe	Ace of Spades: Battle Builder
aces and adventures/aces and adventures.exe	Aces & Adventures
aces high iii/aceshighsteam.exe	Aces High III
aces.exe	War Thunder
acfc.exe	Assassin's Creed: Freedom Cry
achat/achat.exe	AChat
achievement clicker/achievementclicker.exe	Achievement Clicker
achievement printer part 1/basket.exe	Achievement printer part 1
achilles legends untold/achilles/binaries/win64/achilles-win64-shipping.exe	Achilles: Legends Untold
acodyssey.exe	Assassin's Creed Odyssey
acorigins.exe	Assassin's Creed Origins
across the obelisk/acrosstheobelisk.exe	Across the Obelisk
acrsp.exe	Assassin's Creed Revelations
act of aggression/actofaggression.exe	Act of Aggression
action sandbox/action sandbox.exe	ACTION SANDBOX
action taimanin/actiontaimanin.exe	Action Taimanin
actionhenk.exe	Action Henk
activation/steamactivation.exe	Grand Theft Auto: Episodes from Liberty City
acvalhalla.exe	Assassin's Creed Valhalla
adapt demo/adapt.exe	Adapt
adom/adom.exe	ADOM: Ancient Domains of Mystery
adventneon demo/adventneon.exe	Advent NEON
adventure climb vr/acvr.exe	Adventure Climb VR
adventure escape mysteries/aem.exe	Adventure Escape Mysteries
adventure time pirates of the enchiridion/adventure time pirates of the enchiridion.exe	Adventure Time: Pirates of the Enchiridion
adventure-capitalist.exe	AdVenture Capitalist
adventure-communist.exe	AdVenture Communist
ae/oni.exe	Oni
aegis defenders/aegisdefenders.exe	Aegis Defenders
aeon rivals.exe	Aeon Rivals
aeon's end/aeonsend.exe	Aeon's End
aeons echo/aeons_echo.exe	Aeons Echo
aer.exe	AER: Memories of Old
aero tales online the world/aero tales online the world.exe	Aero Tales Online: The World
aethermancer/aethermancer.exe	Aethermancer
af2/afcgame.exe	Atom Fishing II
afop/afop.exe	Avatar: Frontiers of Pandora
after hours/after hours.exe	After Hours
after inc/after inc. revival.exe	After Inc.
after the fall/afterthefall.exe	After the Fall
after the inferno/aftertheinferno.exe	After the Inferno
afterhours/after hours.exe	AfterHours
afterparty/afterparty.exe	Afterparty
against all odds/against all odds.exe	Against All Odds
against the storm demo/against the storm.exe	Against the Storm Demo
against the storm/against the storm.exe	Against the Storm
agarest generations of war/agarest.exe	Agarest: Generations of War
agatha christie the abc murders/the abc murders.exe	Agatha Christie: The ABC Murders
age of advent/ageofadvent.exe	Age of Advent
age of conan/conanpatcher.exe	Age of Conan: Unchained
age of conquest iv/app_main.exe	Age of Conquest IV
age of darkness - final stand/achilles/binaries/win64/achilles-win64-shipping.exe	Age of Darkness: Final Stand
age of decadence/aod64.exe	The Age of Decadence
age of empires - definitive edition/aoede_s.exe	Age of Empires: Definitive Edition
age of empires ii definitive edition/aoe2de_s.exe	Age of Empires II: Definitive Edition
age of empires iv beta/reliccardinal.exe	Age of Empires IV Technical Stress Test
age of empires iv/reliccardinal.exe	Age of Empires IV
age of mythology retold/aomrt_s.exe	Age of Mythology: Retold
age of mythology/aomx.exe	Age of Mythology: Extended Edition
age of water first voyage/aow.exe	Age of Water: The First Voyage
age of water/aow.exe	Age of Water
age of wonders 4/aow4.exe	Age of Wonders 4
age of wonders planetfall/aowpf.exe	Age of Wonders: Planetfall
age of wushu/bin/fxgame.exe	Age of Wushu
age.exe	Kamidori Alchemy Meister
age2_x1.exe	Age of Empires II: HD Edition
age3.exe	Age of Empires III: Complete Collection
age3y.exe	Age of Empires III: Complete Collection
agent 64 spies never die demo/agent 64 spies never die.exe	Agent 64: Spies Never Die
agent a a puzzle in disguise/agenta.exe	Agent A: A Puzzle In Disguise
agentsbiohunter/agentsbiohunters.exe	Agents: Biohunters
ageofconan.exe	Age of Conan
ageofconandx10.exe	Age of Conan
ages of conflict world war simulator/ages of conflict.exe	Ages of Conflict: World War Simulator
aground/aground.exe	Aground
ahegal/ahegal.exe	AHEGAL
ai limit/ai-limit.exe	AI LIMIT
ai the somnium files/ai_thesomniumfiles.exe	AI: The Somnium Files
ai war 2/aiwar2.exe	AI War 2
ai2u/ai2u - with you til the end.exe	AI2U: With You 'Til The End
aiartimpostor/aiartimpostor.exe	AI: Art Impostor
aidungeon/ai dungeon.exe	AI Dungeon
aiimagegenerator/game.exe	AI Image Generator
aim hero.exe	Aim Hero
aim trainer pro/aimtrainer.exe	Aim Trainer Pro
aimlab_tb.exe	Aimlabs
aimtastic.exe	Aimtastic
aiport x-ray simulator/airport x-ray simulator.exe	Airport X-Ray Simulator
air brawl/air brawl.exe	Air Brawl
airborne empire/airborneempire.exe	Airborne Empire
airborne files/airborne.exe	Airborne
airborne kingdom/airbornekingdom.exe	Airborne Kingdom
aircraft carrier survival prolouge/aircraftcarriersurvival.exe	Aircraft Carrier Survival
airline manager 4/airline manager 4.exe	Airline Manager 4
airline tycoon deluxe/at.exe	Airline Tycoon Deluxe
airmech.exe	AirMech
airport ceo/airport ceo.exe	Airport CEO
airportsim demo/airportsimdemo.exe	AirportSim Demo
airportsim/airportsim.exe	AirportSim
airscape/nw.exe	Airscape: The Fall of Gravity
airships conquer the skies/airships.exe	Airships: Conquer the Skies
aiwar.exe	AI War: Fleet Command
ak-xolotl demo/ak-xolotl.exe	AK-xolotl Demo
ak-xolotl/ak-xolotl.exe	AK-xolotl
akane_win64/akane.exe	Akane
akiba's trip undead & undressed/akibauu_config.exe	Akiba's Trip: Undead & Undressed
al qmrah restaurant/al qmrah restaurant.exe	AL QMRAH RESTAURANT
alan_wakes_american_nightmare.exe	Alan Wake's American Nightmare
alanwake.exe	Alan Wake
alba/alba.exe	Alba: A Wildlife Adventure
albion-online.exe	Albion Online
ale & tale tavern first pints/ale and tale tavern.exe	Ale & Tale Tavern: First Pints
ale abbey/aleabbey.exe	Ale Abbey
ale and tale tavern/ale and tale tavern.exe	Ale & Tale Tavern
alex jones new world order/alexjones.exe	Alex Jones: NWO Wars
alicemare/game.exe	Alicemare
alicia/alicia.exe	Alicia
alien hominid invasion demo/begame.exe	Alien Hominid Invasion
alien isolation/ai.exe	Alien: Isolation
alien shooter 2 - reloaded/alienshooter.exe	Alien Shooter 2: Reloaded
alien shooter/alienshooter.exe	Alien Shooter
alien swarm/swarm.exe	Alien Swarm
alienbreed2assault.exe	Alien Breed 2: Assault
alina of the arena/alina of the arena.exe	Alina of the Arena
all is dust/allisdust.exe	All Is Dust
all quiet in the trenches/all quiet in the trenches.exe	All Quiet in the Trenches
all will fall demo/all will fall.exe	ALL WILL FALL
all-in-one sports vr/allinonesports.exe	All-In-One Sports VR
allegiance.exe	Allegiance
almost home now/almosthomenow.exe	Almost Home Now
aloft demo/aloft.exe	Aloft Demo
aloft/aloft.exe	Aloft
along the edge/along-the-edge.exe	Along the Edge
altitude.exe	Altitude
altspacevr/altspacevr.exe	AltspaceVR
altushka dlya skufa/altushka_dlya_skufa.exe	An Alt Girl for Skoof
always sometimes monsters/game.exe	Always Sometimes Monsters
amalgam/hl2.exe	Amalgam
amanda the adventurer 2/amanda the adventurer 2.exe	Amanda the Adventurer 2
amanda the adventurer 3/amanda the adventurer 3.exe	Amanda the Adventurer 3
amanda the adventurer demo/amanda the adventurer.exe	Amanda the Adventurer Demo
amanda the adventurer/amanda the adventurer.exe	Amanda the Adventurer
amarillo's butt slapper/amarillo's butt slapper.exe	Amarillo's Butt Slapper
amazing frog v3/amazingfrog.exe	Amazing Frog? 2
amazing frog/amazingfrog.exe	Amazing Frog?
amazingcultivationsimulator/amazing cultivation simulator.exe	Amazing Cultivation Simulator
amber isle/amber isle.exe	Amber Isle
ambidextro/ambidextro.exe	Ambidextro
amd64/redeclipse.exe	Red Eclipse
american conquest - fight back/dmcr.exe	American Conquest: Fight Back
american conquest/dmcr.exe	American Conquest
american fugitive/americanfugitive.exe	American Fugitive
american theft 80s prologue/american theft 80s prologue.exe	American Theft 80s: Prologue
american theft 80s/american theft 80s.exe	American Theft 80s
amnesia rebirth/amnesiarebirth.exe	Amnesia: Rebirth
amnesia the bunker demo/amnesiathebunker_demo_steam.exe	Amnesia: The Bunker Demo
amnesia the bunker/amnesiathebunker.exe	Amnesia: The Bunker
amnesia the dark descent/amnesia.exe	Amnesia: The Dark Descent
amnesia/amnesia.exe	Amnesia: Memories
amnesia/amnesia.exe	Amnesia™: Memories
among the sleep demo/among the sleep demo.exe	Among the Sleep Demo
among the sleep/among the sleep.exe	Among the Sleep
among trees/among trees.exe	Among Trees
among us - copy/among us.exe	Among Us
among us - kopie/among us.exe	Among Us
among us - tou/among us.exe	Among Us
among us 3d/amongus3d.exe	Among Us 3D
among us vr/amongusvr.exe	Among Us 3D: VR
among us/among us.exe	Among Us
amongripples/amongripples.exe	Among Ripples
amorous.game.windows.exe	Amorous
ampersat/ampersat.exe	Ampersat
amtrucks.exe	American Truck Simulator
amysticallandsac/villagersandheroes.exe	Villagers and Heroes
an ankou/an ankou.exe	An Ankou
an arcade full of cats/arcade.exe	An Arcade Full of Cats
anarchy.exe	Anarchy Online
anarchyonline.exe	Anarchy Online
anarcute/anarcute.exe	Anarcute
ancient dungeon vr/ancient_dungeon.exe	Ancient Dungeon
ancient planet/game.exe	Ancient Planet
ancient warfare 3/ancient warfare 3.exe	Ancient Warfare 3
andy's apple farm/andy's apple farm.exe	Andy's Apple Farm
aneurism iv/aneurism iv.exe	ANEURISM IV
angel legion/angellegion.exe	Angel Legion
angel wings/angelstory.exe	Angel Wings
anger foot demo/anger foot.exe	Anger Foot Demo
anger foot/anger foot.exe	ANGER FOOT
angry birds vr isle of pigs/angry-birds-vr-isle-of-pigs.exe	Angry Birds VR: Isle of Pigs
angry video game nerd adventures/avgn.exe	Angry Video Game Nerd Adventures
angvik/nw.exe	Angvik
animal jam - play wild!/play wild.exe	Animal Jam: Play Wild!
animal revolt battle simulator/animal revolt battle simulator.exe	Animal Revolt Battle Simulator
animal shelter 2 prologue/animal shelter 2 prologue.exe	Animal Shelter 2: Prologue
animal shelter 2/animal shelter 2.exe	Animal Shelter 2
animal shelter prologue/animal shelter.exe	Animal Shelter Simulator
animal shelter/animal shelter.exe	Animal Shelter
animal spa/animalspa.exe	Maltese's Fluffy Onsen
animal trainer simulator/animal trainer.exe	Animal Trainer Simulator
animal well/animal well.exe	ANIMAL WELL
animation throwdown the quest for cards/animationthrowdown.exe	Animation Throwdown: The Quest for Cards
anime standing/anime standing.exe	Anime Standing
ann/nw.exe	Ann
anna's quest/anna.exe	Anna's Quest
anno 1404 - history edition/anno1404addon.exe	Anno 1404: History Edition
anno 1404/addon.exe	Dawn of Discovery: Venice
anno 1701 - history edition/anno1701.exe	Anno 1701: History Edition
anno2205.exe	Anno 2205
anno4.exe	Dawn of Discovery
anno5.exe	Anno 2070
annomutationem/anno.exe	ANNO: Mutationem
annomutationem/anno_mutationem.exe	ANNO: Mutationem
anomalous coffee machine 2/acm2_windows.exe	Anomalous Coffee Machine 2
anomalous coffee machine/acm_windows.exe	Anomalous Coffee Machine
anomaly agent/anomaly agent.exe	Anomaly Agent
anomaly evolution/anomalyevo_windows.exe	Anomaly Evolution
another brick in the mall/launch.exe	Another Brick in the Mall
another crab's treasure/anothercrabstreasure.exe	Another Crab's Treasure
another eden/anothereden.exe	Another Eden
another farm roguelike/farma.exe	Another Farm Roguelike
anthem.exe	ANTHEM
anthro heat/anthroheat.exe	Anthro Heat
antichamber/binaries/win32/udk.exe	Antichamber
antihero.exe	Antihero
antimatter dimensions/antimatter dimensions.exe	Antimatter Dimensions
antonblast demo/antonblastdynamitedemo.exe	Antonblast Demo
antonblast/antonblast.exe	ANTONBLAST
anvil saga/anvil saga.exe	Anvil Saga
ao international tennis 2/tennis2.exe	AO Tennis 2
aoe2de/aoe2de_s.exe	Age of Empires II: Definitive Edition
aoe2de_s.exe	Age of Empires II: Definitive Edition
aoe3de/aoe3de_s.exe	Age of Empires III: Definitive Edition
aoede/aoede_s.exe	Age of Empires: Definitive Edition
aoede_s.exe	Age of Empires: Definitive Edition
aogame.exe	Allods Online
aok hd.exe	Age of Empires II: HD Edition
aokana/aokana.exe	Aokana - Four Rhythms Across the Blue
aom_release_final.exe	Agents of Mayhem
aomx.exe	Age of Mythology: Extended Edition
aooni/aooni.exe	Aooni
aooni2.exe	Aooni2
aot/aot.exe	Attack on Titan
aot2/aot2_eu.exe	Attack on Titan 2
aow3.exe	Age of Wonders III
apartament 1406 horror/apartament 1406.exe	Apartament 1406
apb.exe	APB Reloaded
ape out/apeout.exe	APE OUT
apewar/apewar.exe	Apewar
apex legends/r5apex.exe	Apex Legends
apex point/apex point.exe	Apex Point
apex/r5apex.exe	Apex Legends
apex/r5apex_dx12.exe	Apex Legends
apico demo/apico.exe	APICO Demo
apico/apico.exe	APICO
aplaguetalerequiem/aplaguetalerequiem_x64.exe	A Plague Tale: Requiem
apollo justice ace attorney trilogy/gs456.exe	Apollo Justice: Ace Attorney Trilogy
apotheon arena/apotheonarena.exe	Apotheon Arena
apotheon/apotheon.exe	Apotheon
app_digister/digimon story cs.exe	Digimon Story Cyber Sleuth: Complete Edition
application/curio.exe	LoveCraft
apps/sc3u.exe	SimCity 3000 Unlimited
aq3d.exe	AdventureQuest 3D
aqtion/q2pro.exe	AQtion
aquarist/aquarist.exe	Aquarist
aquarium designer/aquarium designer.exe	Aquarium Designer
aquarium/game.exe	The ​Aquarium Does Not Dance
aquatico demo/aquatico.exe	Aquatico
arabian gulf/arabian gulf.exe	Arabian Gulf
aragami 2/aragami2.exe	Aragami 2
arc apellago/arc apellago.exe	Arc Apellago
arcade/arcadeparadise.exe	Arcade Paradise
arcadius/arcadius.exe	Arcadius
arcana heart 3 love max/ah3lm.exe	Arcana Heart 3: LOVE MAX!!!!!
arcanaheart3lmss/aalib.exe	Arcana Heart 3 LOVEMAX SIXSTARS!!!!!! XTEND
arcania.exe	Arcania: Gothic 4
arcanists/arcanists.exe	Arcanists
archeage.exe	ArcheAge
archvale/archvale.exe	Archvale
arco/arco.exe	Arco
arcticeggs/game.exe	Arctic Eggs
arena of kings/arenaofkings.exe	Arena of Kings
arena renovation first job/arena renovation - first job.exe	Arena Renovation
argentum.exe	Argentum Online
argobattleye.exe	Argo
aristocunts/aristocunts.exe	Aristoputas
arizona sunshine 2/arizonasunshine2.exe	Arizona Sunshine II
arizonasunshine.exe	Arizona Sunshine
ark recode/ark recode.exe	Ark Re:Code
arkhamvr.exe	Batman: Arkham VR
arma 2 operation arrowhead/arma2oa.exe	ArmA 2: Operation Arrowhead
arma 2/arma2.exe	ArmA 2
arma 3/arma3_x64.exe	Arma 3
arma cold war assault/coldwarassault.exe	Arma: Cold War Assault
arma reforger experimental/armareforger_be.exe	Arma Reforger
arma reforger experimental/armareforgersteam_experimental.exe	Arma Reforger
arma reforger/armareforger_be.exe	Arma Reforger
arma reforger/armareforgersteam.exe	Arma Reforger
arma2oa_be.exe	ArmA 2: Operation Arrowhead
arma3.exe	Arma 3
armajet/armajet.exe	Armajet
armello.exe	Armello
armikrog.exe	Armikrog
armor of heroes/armorofheroes.exe	Armor of Heroes
armoredwarfare.exe	Armored Warfare
arms trade tycoon tanks/arms trade tycoon tanks.exe	Arms Trade Tycoon: Tanks
army men rts/amrts.exe	Army Men: RTS
armyofruin/armyofruin.exe	Army of Ruin
arpiel.exe	Arpiel Online
artifact seeker resurrection/artifactseeker.exe	Artifact Seeker: Resurrection
artifact seekerlegend of aurorium/artifactseeker.exe	Artifact Seeker: Resurrection
artifact seekerprologue/artifactseeker.exe	Artifact Seeker: Resurrection
artisan td/artisan td.exe	Artisan TD
artist idle/game.exe	Artist Idle
artofrally/artofrally.exe	art of rally
artofwar/game/u1game.exe	Art of War: Red Tides
arx fatalis/arx.exe	Arx Fatalis
as dusk falls/dusk.exe	As Dusk Falls
as far as the eye/as far as the eye.exe	As Far as the Eye
as1hd/arizonasunshine1hd.exe	Arizona Sunshine VR Remake
asamu-win32-shipping.exe	A Story About My Uncle
asc/binaries/win64/asc-win64-shipping.exe	Jusant
ascension.exe	Ascension: Deckbuilding Game
ascensiongame.exe	Ascension: Deckbuilding Game
aseprite.exe	Aseprite
asgard's fall origins/asgardsfallorigins.exe	Asgard's Fall: Origins
asgard's fall/asgardsfall.exe	Asgard's Fall: Viking Survivors
ash of gods redemption/terminus.exe	Ash of Gods: Redemption
ashen-win64-shipping.exe	Ashen
ashesescalation_dx11.exe	Ashes of the Singularity: Escalation
aska/aska.exe	ASKA
asleep/asleep.exe	Asleep: Act 1
asn_app_pcdx9_final.exe	Sonic & All Stars Racing Transformed
asphalt 9 legends/asphalt9_steam_x64_rtl.exe	Asphalt Legends Unite
assassin's creed iii remastered/aciii.exe	Assassin's Creed III Remastered
assassin's creed mirage/acmirage.exe	Assassin's Creed Mirage
assassin's creed shadows/acshadows.exe	Assassin's Creed Shadows
assassin's creed syndicate/acs.exe	Assassin's Creed Syndicate
assassin's creed unity/acu.exe	Assassin's Creed Unity
assassinscreed_dx10.exe	Assassin's Creed: Director's Cut Edition
assassinscreediigame.exe	Assassin's Creed II
assassinscreedmirage/acmirage.exe	Assassin's Creed Mirage
assault android cactus/cactus.exe	Assault Android Cactus
assault bots/assault bots.exe	Assault Bots
assemble with care/awc.exe	Assemble With Care
assetto corsa evo/assettocorsaevo.exe	Assetto Corsa EVO
assettocorsa.exe	Assetto Corsa
assettocorsa/acs.exe	Assetto Corsa
assettocorsa/acshowroom.exe	Assetto Corsa
assettocorsa/content manager.exe	Assetto Corsa
assettocorsa/jsgme.exe	Assetto Corsa
astebreed.exe	Astebreed
asterix & obelix xxl 1/oxxl1game.exe	Asterix & Obelix XXL
asterix xxl 2/oxxl2game.exe	Astérix & Obélix XXL 2
astlibra/astlibra.exe	ASTLIBRA Revision
astra knights of veda/astra.exe	ASTRA: Knights of Veda
astral ascent/astral ascent.exe	Astral Ascent
astral party/astralparty.exe	Astral Party
astrea/astrea.exe	Astrea: Six-Sided Oracles
astro prospector/astro prospector.exe	Astro Prospector
astro-win64-shipping.exe	ASTRONEER
astronautsgame-win64-shipping.exe	The Vanishing of Ethan Carter
astronomics/astronomics.exe	Astronomics
at home alone final/game.exe	At Home Alone Final
at home alone/game.exe	At Home Alone
atari vault/atarivault.exe	Atari Vault
atari/locomotion/loco.exe	Chris Sawyer's Locomotion
atdeadofnight/atdeadofnight.exe	At Dead of Night
atelier ryza 2/atelier_ryza_2.exe	Atelier Ryza 2: Lost Legends & the Secret Fairy
atelier ryza 3/atelier_ryza_3.exe	Atelier Ryza 3: Alchemist of the End & the Secret Key
atelier ryza/atelier_ryza.exe	Atelier Ryza: Ever Darkness & the Secret Hideout
atelier sophie dx/atelier_sophie_dx.exe	ソフィーのアトリエ ～不思議な本の錬金術士～ DX
atelier sophie the alchemist of the mysterious book/a17config.exe	Atelier Sophie: The Alchemist of the Mysterious Book
atelier yumia demo/atelier_yumia.exe	ユミアのアトリエ ～追憶の錬金術士と幻創の地～ 体験版
atelier yumia/atelier_yumia.exe	ユミアのアトリエ ～追憶の錬金術士と幻創の地～
atelierresleriana/atelierresleriana.exe	レスレリアーナのアトリエ ～忘れられた錬金術と極夜の解放者～
atelierreslerianagl/atelierresleriana.exe	Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator
atlantic fleet/atlanticfleet.exe	Atlantic Fleet
atlantica global/atlanticarun.exe	Atlantica Online
atlas reactor/glyphclientapp.exe	Atlas Reactor
atlasgame_be.exe	Atlas
atlyss/atlyss.exe	ATLYSS
atma/atma_v1.1.3.exe	Atma
atmasphere/atmaspherefinal.exe	AtmaSphere
atom rpg trudograd/trudograd_win64.exe	ATOM RPG: Trudograd
atom rpg/atomrpg_x64.exe	ATOM RPG
atomega/atomega.exe	ATOMEGA
